iter	Passed	Remaining
0	147	147013
1	148	74055
2	149	49605
3	150	37367
4	151	30090
5	152	25193
6	152	21678
7	153	19050
8	154	17004
9	155	15365
10	156	14056
11	157	12950
12	158	12002
13	158	11190
14	159	10485
15	160	9867
16	161	9325
17	162	8849
18	162	8412
19	163	8021
20	164	7667
21	165	7344
22	166	7052
23	166	6783
24	167	6542
25	168	6316
26	169	6103
27	170	5905
28	170	5719
29	171	5548
30	172	5387
31	173	5237
32	174	5101
33	174	4968
34	175	4843
35	176	4723
36	177	4612
37	177	4506
38	178	4406
39	179	4314
40	180	4223
41	181	4135
42	182	4052
43	182	3973
44	183	3897
45	184	3825
46	185	3756
47	186	3693
48	187	3630
49	187	3569
50	188	3511
51	189	3454
52	190	3400
53	191	3352
54	192	3305
55	193	3255
56	193	3207
57	194	3160
58	195	3115
59	196	3075
60	197	3037
61	198	3000
62	199	2961
63	199	2923
64	200	2885
65	201	2850
66	202	2814
67	202	2781
68	203	2749
69	204	2720
70	205	2689
71	206	2659
72	207	2629
73	207	2601
74	208	2572
75	209	2545
76	210	2521
77	211	2496
78	211	2470
79	212	2446
80	213	2421
81	214	2398
82	214	2371
83	215	2348
84	216	2329
85	217	2309
86	218	2288
87	218	2268
88	219	2247
89	220	2228
90	221	2208
91	222	2193
92	223	2176
93	223	2158
94	225	2146
95	226	2132
96	227	2114
97	228	2099
98	229	2085
99	229	2069
100	230	2053
101	231	2038
102	232	2022
103	233	2007
104	233	1992
105	234	1979
106	235	1966
107	236	1951
108	237	1938
109	237	1924
110	238	1912
111	239	1901
112	240	1890
113	241	1880
114	242	1868
115	243	1855
116	244	1842
117	244	1830
118	245	1819
119	246	1808
120	247	1798
121	248	1786
122	249	1775
123	249	1764
124	250	1753
125	251	1742
126	251	1731
127	252	1722
128	253	1713
129	254	1703
130	255	1693
131	256	1683
132	256	1674
133	257	1664
134	258	1655
135	259	1648
136	260	1640
137	261	1631
138	261	1622
139	262	1613
140	263	1605
141	263	1594
142	264	1587
143	265	1581
144	266	1573
145	267	1564
146	268	1556
147	269	1548
148	269	1541
149	270	1534
150	271	1528
151	272	1520
152	273	1513
153	274	1505
154	274	1498
155	275	1491
156	276	1484
157	277	1478
158	278	1472
159	279	1466
160	280	1459
161	280	1453
162	281	1446
163	282	1441
164	283	1436
165	284	1430
166	285	1424
167	286	1418
168	287	1411
169	287	1406
170	288	1400
171	289	1395
172	290	1389
173	291	1383
174	292	1377
175	293	1372
176	293	1366
177	294	1360
178	295	1356
179	296	1352
180	297	1347
181	298	1342
182	299	1337
183	300	1332
184	301	1327
185	302	1323
186	303	1318
187	304	1313
188	304	1307
189	305	1302
190	306	1297
191	307	1292
192	308	1288
193	308	1283
194	309	1278
195	310	1273
196	311	1268
197	312	1263
198	312	1259
199	313	1254
200	314	1250
201	315	1245
202	316	1241
203	316	1236
204	317	1231
205	318	1227
206	319	1222
207	319	1218
208	320	1214
209	321	1210
210	322	1205
211	323	1201
212	323	1197
213	324	1192
214	325	1188
215	326	1185
216	327	1181
217	328	1177
218	328	1173
219	329	1169
220	330	1165
221	331	1161
222	332	1157
223	333	1155
224	334	1151
225	335	1147
226	335	1143
227	336	1140
228	337	1136
229	338	1132
230	339	1129
231	340	1126
232	341	1122
233	341	1118
234	342	1115
235	343	1111
236	344	1107
237	344	1104
238	345	1100
239	346	1097
240	347	1093
241	348	1090
242	348	1086
243	349	1083
244	350	1079
245	351	1076
246	352	1074
247	353	1070
248	353	1067
249	354	1063
250	355	1060
251	356	1057
252	357	1054
253	358	1052
254	358	1048
255	359	1045
256	360	1042
257	361	1039
258	362	1036
259	363	1033
260	364	1031
261	365	1028
262	365	1025
263	366	1022
264	367	1019
265	368	1016
266	369	1013
267	370	1010
268	370	1007
269	371	1005
270	372	1002
271	373	999
272	374	996
273	375	994
274	375	991
275	376	988
276	377	986
277	378	983
278	379	981
279	380	978
280	381	975
281	382	973
282	383	970
283	383	967
284	384	965
285	385	962
286	386	960
287	387	957
288	388	954
289	389	952
290	389	950
291	390	947
292	391	945
293	392	942
294	393	940
295	394	938
296	395	936
297	396	934
298	397	932
299	398	930
300	399	928
301	400	926
302	401	924
303	402	922
304	403	919
305	404	917
306	405	914
307	406	912
308	407	911
309	408	908
310	409	906
311	410	904
312	411	902
313	411	899
314	412	897
315	413	896
316	414	893
317	415	891
318	416	888
319	417	886
320	417	883
321	418	881
322	419	880
323	420	877
324	421	875
325	422	873
326	423	870
327	423	868
328	424	866
329	425	864
330	426	862
331	427	859
332	428	857
333	428	855
334	429	852
335	430	850
336	431	848
337	432	846
338	433	844
339	433	842
340	434	839
341	435	837
342	436	835
343	437	833
344	438	831
345	438	829
346	439	827
347	440	824
348	441	822
349	441	820
350	442	818
351	443	816
352	444	814
353	445	812
354	445	810
355	446	807
356	447	806
357	448	804
358	449	802
359	450	800
360	450	798
361	451	796
362	452	794
363	453	791
364	453	789
365	454	787
366	455	785
367	456	784
368	457	782
369	458	780
370	458	778
371	459	776
372	460	774
373	461	772
374	462	770
375	463	768
376	463	766
377	464	764
378	465	762
379	466	761
380	467	759
381	468	757
382	469	755
383	469	753
384	470	751
385	471	749
386	472	748
387	473	746
388	473	744
389	474	742
390	475	740
391	476	738
392	477	736
393	477	735
394	478	733
395	479	731
396	480	729
397	481	728
398	482	726
399	483	724
400	483	722
401	484	720
402	485	718
403	486	717
404	487	715
405	488	714
406	488	712
407	489	710
408	490	708
409	491	706
410	491	704
411	492	703
412	493	701
413	494	699
414	495	698
415	495	696
416	496	694
417	497	692
418	498	690
419	499	689
420	500	687
421	500	685
422	501	684
423	502	682
424	503	680
425	503	679
426	504	677
427	505	675
428	506	673
429	507	672
430	507	670
431	508	668
432	509	667
433	510	665
434	511	663
435	512	662
436	512	660
437	513	659
438	514	657
439	515	655
440	515	653
441	516	652
442	517	650
443	518	649
444	519	647
445	520	646
446	521	644
447	521	642
448	522	641
449	523	639
450	524	638
451	525	636
452	525	635
453	526	633
454	527	631
455	528	630
456	528	628
457	529	627
458	530	625
459	531	624
460	532	622
461	533	620
462	533	619
463	534	617
464	535	616
465	536	614
466	537	613
467	537	611
468	538	609
469	539	608
470	540	606
471	541	605
472	542	604
473	542	602
474	543	600
475	544	599
476	545	597
477	545	596
478	546	594
479	547	593
480	548	591
481	549	590
482	550	589
483	551	587
484	552	586
485	552	584
486	553	583
487	554	582
488	555	580
489	556	579
490	557	577
491	557	576
492	558	574
493	559	573
494	560	571
495	561	570
496	561	568
497	562	567
498	563	565
499	564	564
500	564	562
501	565	561
502	566	559
503	567	558
504	568	556
505	569	555
506	569	554
507	570	552
508	571	551
509	572	549
510	573	548
511	573	546
512	574	545
513	575	544
514	576	542
515	576	541
516	577	539
517	578	538
518	579	536
519	580	535
520	581	534
521	581	532
522	582	531
523	583	529
524	584	528
525	584	527
526	585	525
527	586	524
528	587	522
529	588	521
530	588	520
531	589	518
532	590	517
533	591	515
534	592	514
535	592	513
536	593	511
537	594	510
538	595	508
539	595	507
540	596	506
541	597	504
542	598	503
543	599	502
544	599	500
545	600	499
546	601	498
547	602	496
548	602	495
549	603	494
550	604	492
551	605	491
552	606	490
553	607	488
